path,noisy_labels_0,noisy_labels_1,noisy_labels_5,noisy_labels_25,noisy_labels_50,is_valid
train/n02979186/n02979186_9036.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_11957.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_9715.JPEG,n02979186,n02979186,n02979186,n03417042,n03000684,False
train/n02979186/n02979186_21736.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/ILSVRC2012_val_00046953.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_10568.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,False
train/n02979186/n02979186_2745.JPEG,n02979186,n02979186,n02979186,n03394916,n02979186,False
train/n02979186/n02979186_3529.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_10756.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_7058.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_12419.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_27479.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_2733.JPEG,n02979186,n02979186,n02979186,n02979186,n03394916,False
train/n02979186/n02979186_23069.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_2467.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_3293.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_22638.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,False
train/n02979186/n02979186_21779.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_8017.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_10095.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,False
train/n02979186/n02979186_6725.JPEG,n02979186,n02979186,n02979186,n02102040,n03394916,False
train/n02979186/n02979186_22439.JPEG,n02979186,n02979186,n02979186,n03888257,n03417042,False
train/n02979186/n02979186_16477.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,False
train/n02979186/n02979186_8537.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,False
train/n02979186/n02979186_3113.JPEG,n02979186,n02979186,n01440764,n02979186,n02979186,False
